"","SOC","Occupation","Job Postings","Median Hourly Earnings","Typical Entry Level Education","Pct. 25 Hourly Earnings","Pct. 75 Hourly Earnings","deduplicated"
"774","51-8011","Nuclear Power Reactor Operators",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"775","51-8031","Water & Wastewater Treatment Plant & System Operators",NA,17.71,"High school diploma or equivalent","$14.84","$21.25",NA
"776","51-8091","Chemical Plant & System Operators",NA,29.54,"High school diploma or equivalent","$22.38","$35.62",NA
"777","51-8099","Plant & System Operators, All Other",NA,32.43,"High school diploma or equivalent","$25.19","$38.63",NA
"778","51-9022","Grinding & Polishing Workers, Hand",NA,13.71,"No formal educational credential","$12.20","$15.36",NA
"779","51-9031","Cutters & Trimmers, Hand",NA,14.33,"No formal educational credential","$11.72","$17.54",NA
"780","51-9071","Jewelers & Precious Stone & Metal Workers",NA,15.32,"High school diploma or equivalent","$12.39","$18.84",NA
"781","51-9082","Medical Appliance Technicians",NA,15.86,"High school diploma or equivalent","$12.72","$20.60",NA
"782","51-9123","Painting, Coating, & Decorating Workers",NA,14.83,"No formal educational credential","$11.97","$17.12",NA
"783","51-9141","Semiconductor Processors",NA,19.24,"Associate's degree","$16.35","$23.35",NA
"784","51-9193","Cooling & Freezing Equipment Operators & Tenders",NA,10.95,"High school diploma or equivalent","$9.36","$13.40",NA
"785","51-9194","Etchers & Engravers",NA,13.6,"High school diploma or equivalent","$11.00","$16.68",NA
"786","51-9196","Paper Goods Machine Setters, Operators, & Tenders",NA,13.71,"High school diploma or equivalent","$11.34","$18.39",NA
"787","53-2011","Airline Pilots, Copilots, & Flight Engineers",NA,62.46,"Bachelor's degree","$47.31","$86.30",NA
"788","53-3011","Ambulance Drivers & Attendants, Except Emergency Medical Technicians",NA,12.81,"High school diploma or equivalent","$11.15","$15.58",NA
"789","53-4011","Locomotive Engineers",NA,30.71,"High school diploma or equivalent","$26.35","$37.07",NA
"790","53-4012","Locomotive Firers",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"791","53-4013","Rail Yard Engineers, Dinkey Operators, & Hostlers",NA,24.97,"High school diploma or equivalent","$19.47","$29.92",NA
"792","53-4021","Railroad Brake, Signal, & Switch Operators",NA,28,"High school diploma or equivalent","$23.51","$34.50",NA
"793","53-4041","Subway & Streetcar Operators",NA,34.08,"High school diploma or equivalent","$28.80","$39.57",NA
"794","53-4099","Rail Transportation Workers, All Other",NA,29.13,"High school diploma or equivalent","$21.97","$37.09",NA
"795","53-5022","Motorboat Operators",NA,17.6,"Postsecondary nondegree award","$11.99","$27.69",NA
"796","53-5031","Ship Engineers",NA,38.04,"Postsecondary nondegree award","$29.98","$46.96",NA
"797","53-6011","Bridge & Lock Tenders",NA,27.27,"High school diploma or equivalent","$23.86","$29.70",NA
"798","53-6099","Transportation Workers, All Other",NA,13.42,"High school diploma or equivalent","$9.25","$22.18",NA
"799","53-7011","Conveyor Operators & Tenders",NA,22.7,"No formal educational credential","$17.52","$27.35",NA
"800","53-7031","Dredge Operators",NA,19.18,"High school diploma or equivalent","$16.68","$24.07",NA
"801","53-7032","Excavating & Loading Machine & Dragline Operators",NA,18.61,"High school diploma or equivalent","$15.03","$22.83",NA
"802","53-7071","Gas Compressor & Gas Pumping Station Operators",NA,26.79,"High school diploma or equivalent","$23.20","$33.87",NA
"803","53-7072","Pump Operators, Except Wellhead Pumpers",NA,19.13,"High school diploma or equivalent","$15.05","$24.12",NA
"804","53-7073","Wellhead Pumpers",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"805","53-7111","Mine Shuttle Car Operators",NA,0,"No formal educational credential","Insf. Data","Insf. Data",NA
"806","55-9999","Military occupations",NA,16.27,"N/A","$11.86","$18.12",NA
"807","99-9999","Unclassified Occupation",NA,0,"N/A","$0.00","$0.00",NA
