,SOC,Description,Pct. 25 Hourly Earnings,Pct. 75 Hourly Earnings,Typical Entry Level Education,2016 - 2021 Change,Age 55-64,Age 65+,Possible Retirements,Occupation Title,Number of Job Postings (July - Sept 2016),,,,,,
562,47-5013,"Service Unit Operators, Oil, Gas, and Mining",$19.48 ,$19.48 ,No formal educational credential,0,<10,0,0,NA,NA,,,,,,
563,47-5021,"Earth Drillers, Except Oil and Gas",$18.73 ,$25.40 ,High school diploma or equivalent,-2,12,<10,12,NA,NA,,,,,,
564,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",$18.10 ,$23.64 ,High school diploma or equivalent,0,<10,<10,0,NA,NA,,,,,,
565,47-5041,Continuous Mining Machine Operators,$19.71 ,$25.54 ,No formal educational credential,-1,<10,0,0,NA,NA,,,,,,
566,47-5042,Mine Cutting and Channeling Machine Operators,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
567,47-5049,"Mining Machine Operators, All Other",$18.49 ,$24.09 ,High school diploma or equivalent,-1,<10,0,0,NA,NA,,,,,,
568,47-5051,"Rock Splitters, Quarry",$15.04 ,$20.84 ,No formal educational credential,-4,<10,<10,0,NA,NA,,,,,,
569,47-5061,"Roof Bolters, Mining",Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,0,0,0,NA,NA,,,,,,
570,47-5071,"Roustabouts, Oil and Gas",$12.18 ,$18.33 ,No formal educational credential,1,<10,<10,0,"Roustabouts, Oil and Gas",7,,,,,,
571,47-5081,Helpers--Extraction Workers,$14.68 ,$21.74 ,High school diploma or equivalent,-1,<10,<10,0,NA,NA,,,,,,
572,47-5099,"Extraction Workers, All Other",Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
573,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",$20.86 ,$36.94 ,High school diploma or equivalent,16,625,106,731,"First-Line Supervisors of Mechanics, Installers, and Repairers",117,,,,,,
574,49-2011,"Computer, Automated Teller, and Office Machine Repairers",$11.68 ,$18.63 ,"Some college, no degree",-4,162,25,187,"Computer, Automated Teller, and Office Machine Repairers",9,,,,,,
575,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairs",$19.18 ,$35.30 ,Associate's degree,5,12,<10,12,NA,NA,,,,,,
576,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",$16.53 ,$30.15 ,Postsecondary nondegree award,-59,166,21,187,"Telecommunications Equipment Installers and Repairers, Except Line Installers",17,,,,,,
577,49-2091,Avionics Technicians,$23.29 ,$31.72 ,Associate's degree,2,<10,<10,0,Avionics Technicians,1,,,,,,
578,49-2092,"Electric Motor, Power Tool, and Related Repairers",$15.36 ,$22.19 ,Postsecondary nondegree award,-3,12,<10,12,"Electric Motor, Power Tool, and Related Repairers",14,,,,,,
579,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",$22.93 ,$29.96 ,Postsecondary nondegree award,0,11,<10,11,"Electrical and Electronics Installers and Repairers, Transportation Equipment",1,,,,,,
580,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",$18.97 ,$28.95 ,Postsecondary nondegree award,5,39,<10,39,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",8,,,,,,
581,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",$24.06 ,$33.59 ,Postsecondary nondegree award,4,20,<10,20,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1,,,,,,
582,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",$11.31 ,$17.13 ,Postsecondary nondegree award,-6,<10,<10,0,"Electronic Equipment Installers and Repairers, Motor Vehicles",1,,,,,,
583,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,$14.30 ,$22.10 ,Postsecondary nondegree award,0,25,<10,25,Electronic Home Entertainment Equipment Installers and Repairers,30,,,,,,
584,49-2098,Security and Fire Alarm Systems Installers,$15.05 ,$21.77 ,High school diploma or equivalent,15,48,12,60,Security and Fire Alarm Systems Installers,20,,,,,,
585,49-3011,Aircraft Mechanics and Service Technicians,$28.59 ,$56.27 ,Postsecondary nondegree award,34,163,19,183,Aircraft Mechanics and Service Technicians,10,,,,,,
586,49-3021,Automotive Body and Related Repairers,$16.22 ,$25.52 ,High school diploma or equivalent,-19,128,26,154,Automotive Body and Related Repairers,12,,,,,,
587,49-3022,Automotive Glass Installers and Repairers,$12.49 ,$17.32 ,High school diploma or equivalent,-4,<10,<10,0,NA,NA,,,,,,
588,49-3023,Automotive Service Technicians and Mechanics,$11.98 ,$20.09 ,Postsecondary nondegree award,-24,422,98,520,Automotive Service Technicians and Mechanics,58,,,,,,
589,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,$16.84 ,$26.06 ,High school diploma or equivalent,62,368,58,426,Bus and Truck Mechanics and Diesel Engine Specialists,62,,,,,,
590,49-3041,Farm Equipment Mechanics and Service Technicians,$11.29 ,$17.24 ,High school diploma or equivalent,5,33,<10,33,Farm Equipment Mechanics and Service Technicians,1,,,,,,
591,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",$18.05 ,$25.84 ,High school diploma or equivalent,-17,182,31,213,"Mobile Heavy Equipment Mechanics, Except Engines",13,,,,,,
592,49-3043,Rail Car Repairers,$20.56 ,$27.16 ,High school diploma or equivalent,-3,27,<10,27,NA,NA,,,,,,
593,49-3051,Motorboat Mechanics and Service Technicians,$12.77 ,$18.50 ,High school diploma or equivalent,-1,10,<10,10,NA,NA,,,,,,
594,49-3052,Motorcycle Mechanics,$11.74 ,$18.22 ,Postsecondary nondegree award,-2,<10,<10,0,NA,NA,,,,,,
595,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,$11.32 ,$17.34 ,High school diploma or equivalent,0,15,<10,15,Outdoor Power Equipment and Other Small Engine Mechanics,1,,,,,,
596,49-3091,Bicycle Repairers,$10.84 ,$15.12 ,High school diploma or equivalent,8,<10,<10,0,Bicycle Repairers,6,,,,,,
597,49-3092,Recreational Vehicle Service Technicians,$13.90 ,$17.87 ,High school diploma or equivalent,-4,<10,<10,0,NA,NA,,,,,,
598,49-3093,Tire Repairers and Changers,$10.56 ,$14.23 ,High school diploma or equivalent,12,31,<10,31,Tire Repairers and Changers,17,,,,,,
599,49-9011,Mechanical Door Repairers,$15.58 ,$22.42 ,High school diploma or equivalent,9,14,<10,14,NA,NA,,,,,,
600,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",$15.72 ,$27.88 ,High school diploma or equivalent,5,36,<10,36,"Control and Valve Installers and Repairers, Except Mechanical Door",12,,,,,,
601,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",$15.08 ,$22.58 ,Postsecondary nondegree award,78,226,37,263,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",63,,,,,,
602,49-9031,Home Appliance Repairers,$11.72 ,$16.89 ,High school diploma or equivalent,-3,19,<10,19,Home Appliance Repairers,20,,,,,,
603,49-9041,Industrial Machinery Mechanics,$18.94 ,$27.99 ,High school diploma or equivalent,113,470,65,534,Industrial Machinery Mechanics,26,,,,,,
604,49-9043,"Maintenance Workers, Machinery",$17.29 ,$25.74 ,High school diploma or equivalent,13,73,<10,73,NA,NA,,,,,,
605,49-9044,Millwrights,$19.84 ,$33.62 ,High school diploma or equivalent,57,115,13,129,Millwrights,2,,,,,,
606,49-9045,"Refractory Materials Repairers, Except Brickmasons",Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
607,49-9051,Electrical Power-Line Installers and Repairers,$20.86 ,$30.43 ,High school diploma or equivalent,106,113,<10,113,Electrical Power-Line Installers and Repairers,22,,,,,,
608,49-9052,Telecommunications Line Installers and Repairers,$16.49 ,$28.09 ,High school diploma or equivalent,10,49,<10,49,Telecommunications Line Installers and Repairers,16,,,,,,
609,49-9061,Camera and Photographic Equipment Repairers,$15.50 ,$27.58 ,Associate's degree,1,<10,<10,0,NA,NA,,,,,,
610,49-9062,Medical Equipment Repairers,$13.55 ,$24.44 ,Associate's degree,11,43,<10,43,Medical Equipment Repairers,10,,,,,,
611,49-9063,Musical Instrument Repairers and Tuners,$14.62 ,$23.57 ,High school diploma or equivalent,-1,12,<10,12,NA,NA,,,,,,
612,49-9064,Watch Repairers,$11.35 ,$15.52 ,High school diploma or equivalent,-2,<10,<10,0,Watch Repairers,1,,,,,,
613,49-9069,"Precision Instrument and Equipment Repairers, All Other",$21.81 ,$31.16 ,High school diploma or equivalent,1,13,<10,13,NA,NA,,,,,,
614,49-9071,"Maintenance and Repair Workers, General",$14.26 ,$24.02 ,High school diploma or equivalent,97,"1,427",369,"1,797","Maintenance and Repair Workers, General",462,,,,,,
615,49-9081,Wind Turbine Service Technicians,Insf. Data,Insf. Data,"Some college, no degree",6,<10,<10,0,Wind Turbine Service Technicians,1,,,,,,
616,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",$12.63 ,$20.79 ,High school diploma or equivalent,-23,65,10,75,"Coin, Vending, and Amusement Machine Servicers and Repairers",1,,,,,,
617,49-9092,Commercial Divers,$18.85 ,$27.12 ,Postsecondary nondegree award,2,<10,<10,0,NA,NA,,,,,,
618,49-9093,"Fabric Menders, Except Garment",Insf. Data,Insf. Data,No formal educational credential,Insf. Data,<10,0,0,NA,NA,,,,,,
619,49-9094,Locksmiths and Safe Repairers,$12.52 ,$16.75 ,High school diploma or equivalent,5,27,13,40,NA,NA,,,,,,
620,49-9095,Manufactured Building and Mobile Home Installers,$12.32 ,$18.58 ,High school diploma or equivalent,-2,<10,<10,0,NA,NA,,,,,,
621,49-9096,Riggers,$20.05 ,$30.89 ,High school diploma or equivalent,3,11,<10,11,Riggers,1,,,,,,
622,49-9097,Signal and Track Switch Repairers,$28.82 ,$36.22 ,High school diploma or equivalent,-1,<10,<10,0,Signal and Track Switch Repairers,1,,,,,,
623,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",$10.54 ,$16.88 ,High school diploma or equivalent,15,44,12,57,"Helpers--Installation, Maintenance, and Repair Workers",26,,,,,,
624,49-9099,"Installation, Maintenance, and Repair Workers, All Other",$11.67 ,$19.06 ,High school diploma or equivalent,17,150,48,199,"Installation, Maintenance, and Repair Workers, All Other",12,,,,,,
625,51-1011,First-Line Supervisors of Production and Operating Workers,$19.77 ,$32.05 ,High school diploma or equivalent,-71,680,88,768,First-Line Supervisors of Production and Operating Workers,171,,,,,,
626,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",$18.28 ,$30.11 ,High school diploma or equivalent,2,<10,<10,0,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",15,,,,,,
627,51-2021,"Coil Winders, Tapers, and Finishers",$10.84 ,$16.23 ,High school diploma or equivalent,0,11,<10,11,NA,NA,,,,,,
628,51-2022,Electrical and Electronic Equipment Assemblers,$10.45 ,$16.14 ,High school diploma or equivalent,22,98,21,119,Electrical and Electronic Equipment Assemblers,5,,,,,,
629,51-2023,Electromechanical Equipment Assemblers,$14.82 ,$20.72 ,High school diploma or equivalent,12,31,<10,31,NA,NA,,,,,,
630,51-2031,Engine and Other Machine Assemblers,$12.00 ,$18.93 ,High school diploma or equivalent,3,50,<10,50,NA,NA,,,,,,
631,51-2041,Structural Metal Fabricators and Fitters,$16.66 ,$28.33 ,High school diploma or equivalent,16,94,<10,94,Structural Metal Fabricators and Fitters,2,,,,,,
632,51-2091,Fiberglass Laminators and Fabricators,$12.28 ,$18.96 ,High school diploma or equivalent,9,11,<10,11,NA,NA,,,,,,
633,51-2092,Team Assemblers,$12.95 ,$24.27 ,High school diploma or equivalent,208,"2,141",272,"2,413",Team Assemblers,107,,,,,,
634,51-2093,Timing Device Assemblers and Adjusters,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
635,51-2099,"Assemblers and Fabricators, All Other",$9.72 ,$14.15 ,High school diploma or equivalent,53,518,91,609,"Assemblers and Fabricators, All Other",2,,,,,,
636,51-3011,Bakers,$9.50 ,$14.16 ,No formal educational credential,47,54,18,72,Bakers,36,,,,,,
637,51-3021,Butchers and Meat Cutters,$12.65 ,$18.69 ,No formal educational credential,6,98,30,128,Butchers and Meat Cutters,24,,,,,,
638,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",$11.85 ,$14.30 ,No formal educational credential,4,89,25,114,"Meat, Poultry, and Fish Cutters and Trimmers",1,,,,,,
639,51-3023,Slaughterers and Meat Packers,$12.32 ,$16.70 ,No formal educational credential,-24,48,11,59,NA,NA,,,,,,
640,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",$12.53 ,$15.26 ,No formal educational credential,-1,14,<10,14,NA,NA,,,,,,
641,51-3092,Food Batchmakers,$10.57 ,$16.48 ,High school diploma or equivalent,-18,131,22,153,Food Batchmakers,3,,,,,,
642,51-3093,Food Cooking Machine Operators and Tenders,$14.48 ,$20.85 ,High school diploma or equivalent,-11,59,19,78,NA,NA,,,,,,
643,51-3099,"Food Processing Workers, All Other",$9.02 ,$14.29 ,No formal educational credential,0,37,<10,37,NA,NA,,,,,,
644,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",$13.91 ,$20.47 ,High school diploma or equivalent,55,112,11,123,"Computer-Controlled Machine Tool Operators, Metal and Plastic",9,,,,,,
645,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",$14.12 ,$21.97 ,High school diploma or equivalent,6,11,<10,11,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",1,,,,,,
646,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",$11.96 ,$21.25 ,High school diploma or equivalent,-28,78,<10,78,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",3,,,,,,
647,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",$15.85 ,$24.27 ,High school diploma or equivalent,-18,34,<10,34,NA,NA,,,,,,
648,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",$14.77 ,$20.40 ,High school diploma or equivalent,-32,96,<10,96,NA,NA,,,,,,
649,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",$15.65 ,$29.13 ,High school diploma or equivalent,-288,583,86,668,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",30,,,,,,
650,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",$15.46 ,$23.08 ,High school diploma or equivalent,-6,17,<10,17,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,,,,,,
651,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",$11.16 ,$17.91 ,High school diploma or equivalent,-17,50,<10,50,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,,,,,,
652,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",$15.91 ,$23.55 ,High school diploma or equivalent,-2,12,<10,12,NA,NA,,,,,,
653,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",$21.42 ,$32.66 ,High school diploma or equivalent,-8,16,<10,16,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1,,,,,,
654,51-4041,Machinists,$16.96 ,$26.37 ,High school diploma or equivalent,67,394,71,465,Machinists,12,,,,,,
655,51-4051,Metal-Refining Furnace Operators and Tenders,$17.09 ,$24.30 ,High school diploma or equivalent,1,16,<10,16,NA,NA,,,,,,
656,51-4052,"Pourers and Casters, Metal",$13.08 ,$19.62 ,High school diploma or equivalent,-2,<10,<10,0,NA,NA,,,,,,
657,51-4061,"Model Makers, Metal and Plastic",$14.69 ,$26.90 ,High school diploma or equivalent,0,<10,<10,0,NA,NA,,,,,,
658,51-4062,"Patternmakers, Metal and Plastic",Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,<10,0,NA,NA,,,,,,
659,51-4071,Foundry Mold and Coremakers,$12.51 ,$18.22 ,High school diploma or equivalent,1,<10,<10,0,NA,NA,,,,,,
660,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",$11.69 ,$19.10 ,High school diploma or equivalent,-15,123,21,144,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2,,,,,,
661,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",$13.12 ,$18.72 ,High school diploma or equivalent,17,174,20,194,NA,NA,,,,,,
662,51-4111,Tool and Die Makers,$20.87 ,$30.55 ,High school diploma or equivalent,-42,232,33,264,Tool and Die Makers,8,,,,,,
663,51-4121,"Welders, Cutters, Solderers, and Brazers",$15.32 ,$22.87 ,High school diploma or equivalent,-8,487,65,552,"Welders, Cutters, Solderers, and Brazers",51,,,,,,
664,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",$12.25 ,$17.03 ,High school diploma or equivalent,-43,74,<10,74,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",1,,,,,,
665,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",$14.80 ,$19.72 ,High school diploma or equivalent,1,<10,<10,0,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2,,,,,,
666,51-4192,"Layout Workers, Metal and Plastic",$17.99 ,$26.53 ,High school diploma or equivalent,0,<10,<10,0,NA,NA,,,,,,
667,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",$11.42 ,$16.43 ,High school diploma or equivalent,1,12,<10,12,NA,NA,,,,,,
668,51-4194,"Tool Grinders, Filers, and Sharpeners",$10.98 ,$15.76 ,High school diploma or equivalent,-4,13,<10,13,NA,NA,,,,,,
669,51-4199,"Metal Workers and Plastic Workers, All Other",$10.57 ,$17.49 ,High school diploma or equivalent,2,14,<10,14,"Metal Workers and Plastic Workers, All Other",2,,,,,,
670,51-5111,Prepress Technicians and Workers,$15.18 ,$23.85 ,Postsecondary nondegree award,-19,39,<10,39,Prepress Technicians and Workers,5,,,,,,
671,51-5112,Printing Press Operators,$14.22 ,$22.19 ,High school diploma or equivalent,-61,253,37,290,Printing Press Operators,37,,,,,,
672,51-5113,Print Binding and Finishing Workers,$11.68 ,$20.17 ,High school diploma or equivalent,-4,63,11,74,Print Binding and Finishing Workers,5,,,,,,
673,51-6011,Laundry and Dry-Cleaning Workers,$9.09 ,$11.73 ,No formal educational credential,-27,120,43,163,Laundry and Dry-Cleaning Workers,32,,,,,,
674,51-6021,"Pressers, Textile, Garment, and Related Materials",$8.76 ,$10.94 ,No formal educational credential,-21,34,<10,34,NA,NA,,,,,,
675,51-6031,Sewing Machine Operators,$10.48 ,$15.47 ,No formal educational credential,-93,156,62,218,Sewing Machine Operators,8,,,,,,
676,51-6041,Shoe and Leather Workers and Repairers,$10.05 ,$12.35 ,High school diploma or equivalent,-1,<10,<10,0,NA,NA,,,,,,
677,51-6042,Shoe Machine Operators and Tenders,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,Shoe Machine Operators and Tenders,5,,,,,,
678,51-6051,"Sewers, Hand",$8.28 ,$10.62 ,No formal educational credential,3,<10,<10,0,NA,NA,,,,,,
679,51-6052,"Tailors, Dressmakers, and Custom Sewers",$10.79 ,$13.39 ,No formal educational credential,0,42,24,66,"Tailors, Dressmakers, and Custom Sewers",1,,,,,,
680,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
681,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",$10.52 ,$15.50 ,High school diploma or equivalent,-2,<10,<10,0,"Textile Cutting Machine Setters, Operators, and Tenders",1,,,,,,
682,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",$9.76 ,$13.75 ,High school diploma or equivalent,-2,<10,<10,0,NA,NA,,,,,,
683,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",$10.28 ,$13.74 ,High school diploma or equivalent,0,<10,0,0,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",4,,,,,,
684,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",$13.96 ,$19.48 ,High school diploma or equivalent,7,31,<10,31,NA,NA,,,,,,
685,51-6092,Fabric and Apparel Patternmakers,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,<10,0,NA,NA,,,,,,
686,51-6093,Upholsterers,$11.07 ,$15.21 ,High school diploma or equivalent,0,23,11,34,NA,NA,,,,,,
687,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",$10.27 ,$15.52 ,High school diploma or equivalent,0,<10,<10,0,"Textile, Apparel, and Furnishings Workers, All Other",2,,,,,,
688,51-7011,Cabinetmakers and Bench Carpenters,$12.91 ,$20.55 ,High school diploma or equivalent,-22,130,25,155,Cabinetmakers and Bench Carpenters,6,,,,,,
689,51-7021,Furniture Finishers,$11.60 ,$15.22 ,High school diploma or equivalent,-6,28,<10,28,NA,NA,,,,,,
690,51-7031,"Model Makers, Wood",Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,<10,0,NA,NA,,,,,,
691,51-7032,"Patternmakers, Wood",Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
692,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",$10.37 ,$14.51 ,High school diploma or equivalent,6,41,<10,41,"Sawing Machine Setters, Operators, and Tenders, Wood",4,,,,,,
693,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",$12.09 ,$17.67 ,High school diploma or equivalent,-7,151,28,179,NA,NA,,,,,,
694,51-7099,"Woodworkers, All Other",$12.77 ,$18.41 ,High school diploma or equivalent,-3,12,<10,12,NA,NA,,,,,,
695,51-8011,Nuclear Power Reactor Operators,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
696,51-8012,Power Distributors and Dispatchers,$34.79 ,$48.09 ,High school diploma or equivalent,3,11,<10,11,Power Distributors and Dispatchers,1,,,,,,
697,51-8013,Power Plant Operators,$29.35 ,$41.17 ,High school diploma or equivalent,-30,68,<10,68,Power Plant Operators,3,,,,,,
698,51-8021,Stationary Engineers and Boiler Operators,$17.08 ,$29.43 ,High school diploma or equivalent,1,18,<10,18,Stationary Engineers and Boiler Operators,2,,,,,,
699,51-8031,Water and Wastewater Treatment Plant and System Operators,$14.84 ,$21.25 ,High school diploma or equivalent,-2,53,12,64,NA,NA,,,,,,
700,51-8091,Chemical Plant and System Operators,$22.38 ,$35.62 ,High school diploma or equivalent,3,15,<10,15,NA,NA,,,,,,
701,51-8092,Gas Plant Operators,$31.19 ,$42.16 ,High school diploma or equivalent,-2,<10,<10,0,Gas Plant Operators,5,,,,,,
702,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",$27.47 ,$40.64 ,High school diploma or equivalent,-1,<10,<10,0,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",4,,,,,,
703,51-8099,"Plant and System Operators, All Other",$25.19 ,$38.63 ,High school diploma or equivalent,-2,<10,<10,0,NA,NA,,,,,,
704,51-9011,Chemical Equipment Operators and Tenders,$17.28 ,$29.45 ,High school diploma or equivalent,-102,75,<10,75,Chemical Equipment Operators and Tenders,2,,,,,,
705,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",$17.18 ,$27.92 ,High school diploma or equivalent,-6,37,<10,37,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",34,,,,,,
706,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",$11.38 ,$19.55 ,High school diploma or equivalent,-6,20,<10,20,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",3,,,,,,
707,51-9022,"Grinding and Polishing Workers, Hand",$12.20 ,$15.36 ,No formal educational credential,-4,36,<10,36,NA,NA,,,,,,
708,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",$14.35 ,$21.32 ,High school diploma or equivalent,-61,106,14,120,"Mixing and Blending Machine Setters, Operators, and Tenders",5,,,,,,
709,51-9031,"Cutters and Trimmers, Hand",$11.72 ,$17.54 ,No formal educational credential,3,<10,<10,0,NA,NA,,,,,,
710,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",$13.36 ,$19.40 ,High school diploma or equivalent,-37,113,23,136,"Cutting and Slicing Machine Setters, Operators, and Tenders",8,,,,,,
711,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",$9.77 ,$16.34 ,High school diploma or equivalent,-24,67,<10,67,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2,,,,,,
712,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",$14.70 ,$24.15 ,High school diploma or equivalent,-8,14,<10,14,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",1,,,,,,
713,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",$12.94 ,$24.59 ,High school diploma or equivalent,-65,790,156,945,"Inspectors, Testers, Sorters, Samplers, and Weighers",132,,,,,,
714,51-9071,Jewelers and Precious Stone and Metal Workers,$12.39 ,$18.84 ,High school diploma or equivalent,-1,26,<10,26,NA,NA,,,,,,
715,51-9081,Dental Laboratory Technicians,$12.69 ,$22.00 ,High school diploma or equivalent,-7,41,13,54,Dental Laboratory Technicians,4,,,,,,
716,51-9082,Medical Appliance Technicians,$12.72 ,$20.60 ,High school diploma or equivalent,0,13,<10,13,NA,NA,,,,,,
717,51-9083,Ophthalmic Laboratory Technicians,$12.05 ,$17.46 ,High school diploma or equivalent,9,<10,<10,0,Ophthalmic Laboratory Technicians,1,,,,,,
718,51-9111,Packaging and Filling Machine Operators and Tenders,$11.56 ,$17.96 ,High school diploma or equivalent,-10,365,74,439,Packaging and Filling Machine Operators and Tenders,12,,,,,,
719,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",$12.42 ,$20.11 ,High school diploma or equivalent,-19,72,<10,72,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2,,,,,,
720,51-9122,"Painters, Transportation Equipment",$20.37 ,$31.49 ,High school diploma or equivalent,1,31,<10,31,"Painters, Transportation Equipment",2,,,,,,
721,51-9123,"Painting, Coating, and Decorating Workers",$11.97 ,$17.12 ,No formal educational credential,-7,20,<10,20,NA,NA,,,,,,
722,51-9141,Semiconductor Processors,$16.35 ,$23.35 ,Associate's degree,0,<10,<10,0,NA,NA,,,,,,
723,51-9151,Photographic Process Workers and Processing Machine Operators,$12.56 ,$16.33 ,High school diploma or equivalent,-8,<10,<10,0,Photographic Process Workers and Processing Machine Operators,5,,,,,,
724,51-9191,Adhesive Bonding Machine Operators and Tenders,$12.26 ,$18.12 ,High school diploma or equivalent,-8,32,<10,32,Adhesive Bonding Machine Operators and Tenders,1,,,,,,
725,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",$10.98 ,$15.07 ,No formal educational credential,0,<10,<10,0,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",1,,,,,,
726,51-9193,Cooling and Freezing Equipment Operators and Tenders,$9.36 ,$13.40 ,High school diploma or equivalent,0,<10,<10,0,NA,NA,,,,,,
727,51-9194,Etchers and Engravers,$11.00 ,$16.68 ,High school diploma or equivalent,-2,10,<10,10,NA,NA,,,,,,
