,SOC,Description,Pct. 25 Hourly Earnings,Pct. 75 Hourly Earnings,Typical Entry Level Education,2016 - 2021 Change,Age 55-64,Age 65+,Possible Retirements,Occupation Title,Number of Job Postings (July - Sept 2016),,,,,,
163,19-4099,"Life, Physical, and Social Science Technicians, All Other",$14.14 ,$24.94 ,Associate's degree,11,24,<10,24,"Life, Physical, and Social Science Technicians, All Other",47,,,,,,
164,21-1011,Substance Abuse and Behavioral Disorder Counselors,$12.50 ,$18.39 ,Bachelor's degree,9,48,15,63,Substance Abuse and Behavioral Disorder Counselors,7,,,,,,
165,21-1012,"Educational, Guidance, School, and Vocational Counselors",$18.17 ,$34.72 ,Master's degree,34,193,46,239,"Educational, Guidance, School, and Vocational Counselors",79,,,,,,
166,21-1013,Marriage and Family Therapists,$11.62 ,$20.70 ,Master's degree,6,26,10,37,Marriage and Family Therapists,12,,,,,,
167,21-1014,Mental Health Counselors,$13.95 ,$20.66 ,Master's degree,3,106,35,142,Mental Health Counselors,53,,,,,,
168,21-1015,Rehabilitation Counselors,$11.75 ,$17.40 ,Master's degree,16,70,24,94,Rehabilitation Counselors,1,,,,,,
169,21-1019,"Counselors, All Other",$14.59 ,$25.69 ,Master's degree,7,22,<10,22,"Counselors, All Other",11,,,,,,
170,21-1021,"Child, Family, and School Social Workers",$14.46 ,$20.80 ,Bachelor's degree,32,270,70,339,"Child, Family, and School Social Workers",7,,,,,,
171,21-1022,Healthcare Social Workers,$17.89 ,$26.84 ,Master's degree,67,96,20,116,Healthcare Social Workers,14,,,,,,
172,21-1023,Mental Health and Substance Abuse Social Workers,$15.62 ,$22.81 ,Bachelor's degree,5,70,17,87,Mental Health and Substance Abuse Social Workers,8,,,,,,
173,21-1029,"Social Workers, All Other",$15.19 ,$34.50 ,Bachelor's degree,5,53,12,65,"Social Workers, All Other",34,,,,,,
174,21-1091,Health Educators,$20.16 ,$34.85 ,Bachelor's degree,20,27,<10,27,Health Educators,32,,,,,,
175,21-1092,Probation Officers and Correctional Treatment Specialists,$15.25 ,$20.12 ,Bachelor's degree,6,40,<10,40,NA,NA,,,,,,
176,21-1093,Social and Human Service Assistants,$10.86 ,$16.60 ,High school diploma or equivalent,64,194,68,262,Social and Human Service Assistants,25,,,,,,
177,21-1094,Community Health Workers,$14.55 ,$23.67 ,High school diploma or equivalent,15,30,<10,30,Community Health Workers,3,,,,,,
178,21-1099,"Community and Social Service Specialists, All Other",$13.91 ,$20.21 ,Master's degree,13,39,15,54,"Community and Social Service Specialists, All Other",3,,,,,,
179,21-2011,Clergy,$17.11 ,$25.75 ,Bachelor's degree,161,423,299,722,Clergy,20,,,,,,
180,21-2021,"Directors, Religious Activities and Education",$17.30 ,$33.51 ,Bachelor's degree,58,198,130,328,"Directors, Religious Activities and Education",3,,,,,,
181,21-2099,"Religious Workers, All Other",$10.74 ,$21.28 ,Bachelor's degree,32,77,73,150,NA,NA,,,,,,
182,23-1011,Lawyers,$34.06 ,$57.89 ,Doctoral or professional degree,-6,578,294,872,Lawyers,43,,,,,,
183,23-1012,Judicial Law Clerks,Insf. Data,Insf. Data,Doctoral or professional degree,Insf. Data,<10,0,0,Judicial Law Clerks,4,,,,,,
184,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",$19.69 ,$36.21 ,Doctoral or professional degree,-1,19,<10,19,NA,NA,,,,,,
185,23-1022,"Arbitrators, Mediators, and Conciliators",$19.69 ,$26.20 ,Bachelor's degree,0,<10,<10,0,NA,NA,,,,,,
186,23-1023,"Judges, Magistrate Judges, and Magistrates",$31.71 ,$63.89 ,Doctoral or professional degree,1,22,12,34,NA,NA,,,,,,
